name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Adder Strike|Combat|You can quickly apply poison to gloved hands, protected feet, or other protected body parts, delivering the poison with your unarmed strikes.|Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike.|Improved Unarmed Strike|As a swift action, you can apply one dose of contact or injury poison to two body parts that you use for unarmed strikes. You must still protect yourself against exposure to contact poisons you apply in this way.|Applying poison to a weapon or single piece of ammunition is a standard action.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Additional Traits|General|You have more traits than normal.|||You gain two character traits of your choice (see Chapter 8). These traits must be chosen from different lists, and cannot be chosen from lists from which you have already selected a character trait. You must meet any additional qualifications for the character traits you choose.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Adept Champion|General|You can alter your smite ability, channeling the power of your deity into divine inspiration that grants you greater aptitude for performing combat maneuvers.|Smite evil class feature, base attack bonus +5.||While using your smite evil class feature, as a swift action at the start of your turn, you can forgo the bonus on damage rolls and instead gain half that bonus as a bonus on combat maneuver checks against the target of your smite. The effects of your smite evil feature return to normal at the start of your next turn.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Adept Channel|General|Some orc adepts enjoy a greater connection to their gods, and can channel their faith through their unholy symbols. You gain the ability to channel energy as a cleric.|Ability to cast divine spells, summon familiar class ability, caster level 4th, Cha 13.||You gain the channel energy class feature, as a cleric, usable 2 times per day. This ability otherwise functions like the cleric's channel energy ability, except that your effective cleric level is equal to your divine spellcasting class level -3. Unlike a cleric, however, the number of times per day you may channel energy is not affected by your Charisma modifier.|||Orcs Of Golarion|0|0|0|0|0|0|0|||||0|
Advanced Defensive Combat Training|Combat|You are a master at defending yourself from all manner of combat maneuvers.|Defensive Combat Training, Bellf lower Network 10 TPA.|Defensive Combat Training|You gain a +4 bonus to your CMD.|||Faction Guide|0|0|0|0|0|0|0|||||0|
Advanced Ranger Trap|General|Your ranger traps are especially difficult to notice and avoid.|Trap class feature, ranger level 5th.||Add +1 to the Difficulty Class on all Perception and Disable Device skill checks to find or disable the traps you make with your trap class feature. Add a +1 to the Difficulty Class on all saving throws against the effects of the trap you make with your trap class feature.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Agile Maneuvers|Combat|You've learned to use your quickness in place of brute force when performing combat maneuvers.|||You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Chapter 8) instead of your Strength bonus.|You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Agile Tongue|General|Your long pink tongue is capable of manipulating small items and even stealing objects.|Grippli.||You have a prehensile tongue with a range of 10 feet. You can pick up items weighing no more than 5 pounds, make Sleight of Hand checks, perform the steal or disarm combat maneuvers, or make melee touch attacks with your tongue.|||Advanced Race Guide|0|0|0|0|0|1|0|Grippli||||0|
Airy Step|General|The air responds to your innate elemental nature, protecting you from harm and cushioning your falls.|Sylph.||You gain a +2 bonus on saving throws against effects with the air or electricity descriptors and effects that deal electricity damage. You may ignore the first 30 feet of any fall when determining falling damage.|||Advanced Race Guide|0|0|0|0|0|1|0|Sylph||||0|
Aldori Dueling Mastery|Combat|You have mastered the grueling fighting style perfected by the Aldori Swordlords.|Exotic Weapon Proficiency (Aldori dueling sword), Quick Draw, Weapon Finesse, Weapon Focus (Aldori dueling sword).|Exotic Weapon Proficiency (Aldori dueling sword), Quick Draw, Weapon Finesse, Weapon Focus (Aldori dueling sword)|You gain a +2 bonus on Initiative checks as long as you start combat with an Aldori dueling sword in your hand. As long as you wield only a single Aldori dueling sword in one hand, you gain a +2 shield bonus to your AC-if you wield the sword in two hands, this bonus drops to a +1 shield bonus to AC. Although the dueling sword inf licts slashing damage, you treat it as if it were also a piercing weapon when determining the effects of weapons used by a duelist.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Alertness|General|You often notice things that others might miss.|||You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Alertness|Mythic|Your powers of perception surpass everyone's, whether used to observe your surroundings or the intentions of others.|Alertness.|Alertness|The bonus on Perception and Sense Motive skill checks from Alertness increases by 2. In addition, you can expend one use of mythic power to treat a Perception or Sense Motive check as if you had rolled a natural 20. You must decide to use this ability before making the roll.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Alignment Channel|General|Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.|Ability to channel energy.||Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.||You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.|PFRPG Core|0|0|0|0|0|0|0|||||1|
Alignment Channel|Mythic|The power of your faith harms all creatures that follow the alignment you abhor.|Alignment Channel.|Alignment Channel|Your channeled energy affects any creatures with the alignment chosen when you took Alignment Channel (not just outsiders, and not just those with the alignment subtype), but grants only half healing or deals only half damage to these targets. Alternatively, you can expend two uses of mythic power when using Alignment Channel to affect all targets of the chosen alignment as if they had that alignment subtype.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Allied Spellcaster|General|With the aid of an ally, you are skilled at piercing the protections of other creatures with your spells.|Caster level 1st.||Whenever you are adjacent to an ally who also has this feat, you receive a +2 competence bonus on level checks made to overcome spell resistance. If your ally has the same spell prepared (or known with a slot available if they are spontaneous spellcasters), this bonus increases to +4 and you receive a +1 bonus to the caster level for all leveldependent variables, such as duration, range, and effect.|||Advanced Player's Guide|1|0|0|0|0|0|0|||||0|
Altitude Affinity|General|You have hardened your body against the grueling rigors of surviving at high altitudes.|Endurance.|Endurance|You are automatically acclimated at high altitudes (Pathfinder RPG Core Rulebook 430). In addition, you gain a +2 competence bonus on all Survival checks made at altitudes of 5,000 feet or higher.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Amateur Gunslinger|Combat|Although you are not a gunslinger, you have and can use grit.|You have no levels in a class that has the grit class feature.||You gain a small amount of grit and the ability to perform a single 1st-level deed from the gunslinger deed class feature. At the start of the day, you gain 1 grit point, though throughout the day you can gain grit points up to a maximum of your Wisdom modifier (minimum 1). You can regain grit using the rules for the gunslinger's grit class feature (see page 9). You can spend this grit to perform the 1st-level deed you chose upon taking this feat, and any other deed you have gained through feats or magic items.||If you gain levels in a class that grants the grit class feature, you can immediately trade this feat for the Extra Grit feat.|Ultimate Combat|0|0|0|0|0|0|0|||||0|
Ammo Drop|Combat|Your coordination is so perfect that you can simply drop ammunition from your hand at the exact moment required for it to fall into an open sling as your twirl it around.|Sleight of Hand 1 rank, proficient with sling.||You can load a sling or one end of a double sling with one hand as a swift action or move action. This does not provoke an attack of opportunity.|||Halflings Of Golarion|0|0|0|0|0|0|0|||||0|
Amplified Rage|General|When adjacent to other raging allies, your rages become even more powerful.|Half-orc or orc, rage class feature.||Whenever you are raging and adjacent to a raging ally who also has this feat or flanking the same opponent as a raging ally with this feat, your morale bonuses to Strength and Constitution increase by +4. This feat does not stack with itself (you only gain this bonus from one qualifying ally, regardless of how many are adjacent to you).|||Orcs Of Golarion|1|0|0|0|0|1|0|Orc,Half-Orc||||0|
Ancestral Scorn|General|The fury you harbor for your fiendish ancestors gives evil outsiders great reason to fear you.|Intimidate 5 ranks, tiefling.||Whenever you successfully demoralize an outsider of the evil subtype with an Intimidate check, it becomes sickened for 1 round in addition to being affected by the normal effects of being demoralized. If you beat the DC by 5 or more, the creature is nauseated for 1 round instead.|Demoralizing a foe with a successful Intimidate check causes it to become shaken for 1 round, +1 round for every 5 by which you beat the DC.||Blood Of Fiends|0|0|0|0|0|1|0|Tiefling||||0|
Ancient Draconic|General|You empower spells using the ancient language of dragons.|Arcane caster level 5th, speaks Draconic.||You gain a +1 bonus on caster level checks to overcome spell resistance when casting arcane spells that have a verbal component. If you speak Draconic when casting an arcane language-dependent spell, all intelligent creatures with a language can understand your words.|||Kobolds Of Golarion|0|0|0|0|0|0|0|||||0|
Andoren Falconry|General|You know the secret Andoren arts of falconry developed by the Novotnian family of Darkmoon Vale.|Cha 13, Animal Affinity, animal companion class feature.|Animal Affinity|You improve your affinity with birds of prey, such as eagles, falcons, hawks, and owls. You gain a +2 bonus on Animal Handling checks made to train or control birds of prey. In addition, if you have a bird of prey as an animal companion, your animal companion gains one of the following bonuses chosen at the time this animal companion is gained: a +1 dodge bonus to AC, a +1 morale bonus on all attack rolls, or a +2 morale bonus on all Will saves.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Angel Wings|General|Feathered wings sprout from your back.|Angelic Blood, aasimar, character level 10th.|Angelic Blood|You gain a pair of gleaming feathered wings that grant a fly speed of 30 feet (average maneuverability) if wearing light armor or unencumbered, or 20 feet (poor maneuverability) with a medium or heavy load or medium or heavy armor. Fly is a class skill for you.|||Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||0|
Angelic Blood|General|Your blood is infused with holy power.|Con 13, aasimar.||You gain a +2 bonus on saving throws against effects with the evil descriptor and on Constitution checks to stabilize when you are reduced to negative hit points (but not dead). Furthermore, each time you take bleed or blood drain damage, each undead creature or creature with the evil subtype that is currently adjacent to you also takes 1 point of damage.|||Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||0|
Angelic Flesh|General|Your skin shines like burnished metal.|Angelic Blood, aasimar.|Angelic Blood|You take a -2 penalty on Disguise and Stealth checks but gain one of the following benefits, depending on the metallic affinity of your flesh (choose one). Brazen: You gain fire resistance 5 and a +2 bonus on saves against fire effects. Golden: You gain a +2 bonus on saves against blindness, dazzling, patterns, and effects with the light descriptor. When you cast spells or use spell-like abilities that are from the illusion (pattern) subschool or have the light descriptor, you do so at +1 caster level. Silver: You gain a +2 bonus on saves against paralysis, petrification, and poison, and your unarmed strikes or natural weapons count as silver for the purpose of overcoming damage reduction. Steel: You gain a +1 natural armor bonus to AC, and your unarmed strikes or natural weapons count as cold iron for the purpose of overcoming damage reduction.|||Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||0|
Animal Affinity|General|You are skilled at working with animals and mounts.|||You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Animal Affinity|Mythic|You have a greater affinity with wild animals, and can speak with them.|Animal Affinity.|Animal Affinity|The bonus on Handle Animal and Ride skill checks from Animal Affinity increases by 2. In addition, you can expend one use of mythic power to speak with animals as the spell. Your caster level for this effect is equal to twice your tier.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Animal Ally|General|Your respect for nature is so great that you can form a deep and lasting friendship with an animal.|Nature Soul, character level 4th, must not have an animal companion or mount that advances as an animal companion.|Nature Soul|You gain an animal companion as if you were a druid of your character level -3 from the following list: badger, bird, camel, cat (small), dire rat, dog, horse, pony, snake (viper), or wolf. If you later gain an animal companion through another source (such as the Animal domain, divine bond, hunter's bond, mount, or nature bond class features), the effective druid level granted by this feat stacks with that granted by other sources.|||Faiths & Philosophies|0|0|0|0|0|0|0|||||0|
Ankle Biter|Combat|You know how take a mouthful out of anyone who tries to overpower you.|Goblin, Escape Artist 1 rank.||If you are the target of a combat maneuver you can, as an immediate action, attempt to bite your opponent in addition to any attacks of opportunity or other consequences your opponent might incur from attacking you. This bonus natural attack does not provoke an attack of opportunity itself and deals base damage appropriate for a creature of your current size (usually 1d4 for Small creatures). If grappled or pinned, you can continue to make this additional bite attack each round as swift action on your turn. You gain a bonus on any attempt to break the grapple equal to the damage you dealt with your bite that round.||You cannot make this bite attack when you are the aggressor, including if you manage to reverse a grapple or make any other attack of opportunity.|Goblins Of Golarion|0|0|0|0|0|1|0|Goblin||||0|
Antagonize|General|Whether with biting remarks or hurtful words, you are adept at making creatures angry with you.|||You can make Diplomacy and Intimidate checks to make creatures respond to you with hostility. No matter which skill you use, antagonizing a creature takes a standard action that does not provoke attacks of opportunity, and has a DC equal to 10 + the target's Hit Dice + the target's Wisdom modifier. You cannot make this check against a creature that does not understand you or has an Intelligence score of 3 or lower. Before you make these checks, you may make a Sense Motive check (DC 20) as a swift action to gain an insight bonus on these Diplomacy or Intimitade checks equal to your Charisma bonus until the end of your next turn. The benefits you gain for this check depend on the skill you use. This is a mind-affecting effect. Diplomacy: You fluster your enemy. For the next minute, the target takes a -2 penalty on all attacks rolls made against creatures other than you and has a 10% spell failure chance on all spells that do not target you or that have you within their area of effect. Intimidate: The creature flies into a rage. On its next turn, the target must attempt to make a melee attack against you, make a ranged attack against you, target you with a spell, or include you in the area of a spell. The effect ends if the creature is prevented from attacking you or attempting to do so would harm it (for example, if you are on the other side of a chasm or a wall of fire). If it cannot attack you on its turn, you may make the check again as an immediate action to extend the effect for 1 round (but cannot extend it thereafter). The effect ends as soon as the creature melee attacks you. Once you have targeted a creature with this ability, you cannot target it again for 1 day.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Apotheosis|Story|You are marked by fate as a future deity-even before this destiny is realized, fate bends to your will.|You must have had direct contact with a deity or godlike being, or have been risen from the dead at the personal behest of a deity or godlike being.||You gain a +2 bonus on Constitution checks to stabilize while dying. Anytime you or an ally who worships the god that contacted you casts augury or a similar effect, your chance of receiving a meaningful reply is increased by 5% (to a maximum of 95%).|||Quests and Campaigns|0|0|0|0|0|0|0|||You must be acknowledged by another divine being (directly or through a representative) as a peer, even if only a minor one.|Once per day as an immediate action, you can cause any die roll made by a creature within 100 feet of you to be rerolled. You choose which result you prefer. You must decide to use this ability after the first roll is made but before the results are revealed by the GM.|0|Called, Fortunate, Inspiring.
Aquatic Ancestry|General|You favor your outsider ancestry and are better adapted to life in the water.|Undine.||You gain the amphibious special quality. Your swim speed increases by +10 feet.|||Advanced Race Guide|0|0|0|0|0|1|0|Undine||||0|
Arc Slinger|Combat|You can twirl your sling in a way that maximizes its effectiveness.|Point-Blank Shot, proficient with sling or halfling sling staff.|Point-Blank Shot|When using a sling or sling staff, you reduce your penalty on ranged attack rolls due to range by 2. Point-Blank Shot's damage bonus applies within the first normal range increment of your sling (50 feet) or sling staff (80 feet).|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Arcane Armor Mastery|Combat|You have mastered the ability to cast spells while wearing armor.|Arcane Armor Training, Medium Armor Proficiency, caster level 7th.|Arcane Armor Training, Medium Armor Proficiency|As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 20% for any spells you cast this round. This bonus replaces, and does not stack with, the bonus granted by Arcane Armor Training.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Arcane Armor Training|Combat|You have learned how to cast spells while wearing armor.|Light Armor Proficiency, caster level 3rd.|Light Armor Proficiency|As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 10% for any spells you cast this round.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Arcane Armor Training|Mythic|You've adapted your spellcasting to overcome limitations of wearing armor.|Arcane Armor Training.|Arcane Armor Training|You don't have to spend a swift action to gain the reduction to arcane spell failure chance from Arcane Armor Training. Furthermore, if you're wearing light armor, reduce your arcane spell failure chance by 20%.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Arcane Blast|General|You can convert any spell into an attack.|Arcane spellcaster, caster level 10th.||As a standard action, you can sacrifice a prepared spell or unused spell slot of 1st level or higher and transform it into a ray, targeting any foe within 30 feet as a ranged touch attack. This attack deals 2d6 points of damage plus an additional 1d6 points of damage for every level of the spell or spell slot you sacrificed. 0-level spells may not be sacrificed in this manner.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Arcane Blast|Mythic|You can manipulate raw eldritch energies to do more than just deal damage.|Arcane BlastAPG.|Arcane Blast|When you use Arcane Blast, you may halve the damage dice to also perform your choice of either a trip or bull rush combat maneuver against the target of the blast. You can't move with an opponent you bull rush with this feat. You gain a bonus on your combat maneuver check for this attempt equal to half the spell level of the spell you sacrificed when using Arcane Blast, and you can substitute your Intelligence or Charisma modifier in place of your Strength modifier when determining your combat maneuver bonus. In addition, you can expend one use of mythic power to change the damage dice of your Arcane Blast to d8s instead of d6s.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Arcane Insight|General|Magical insight helps you evade attacks.|Worshiper of Nethys, Arcane Shield (see the Advanced Player's Guide).|Arcane Shield|Whenever you use the Arcane Shield feat, you also gain a +1 insight bonus to your Armor Class for 1 round.|||Faiths Of Balance|0|0|0|0|0|0|0|||||0|
Arcane School Spirit|General|You can talk up the power of your own school of magic to such an extent that creatures find it more difficult to resist your spells.|Bluff 1 rank, arcane school class feature, gnome.||As a full-round action, you extol the virtues of your school of magic to one creature within 30 feet. Make a Bluff check opposed by a target's Sense Motive check; if you win the check, the target takes a -2 penalty on saving throws made to resist the next spell of this school that you cast. If your chosen school is universalist, choose a specific school each time you use this ability. If your Bluff check succeeds, however, your lack of true commitment to the school means the target takes only a -1 penalty on its saving throw.|||Gnomes Of Golarion|0|0|0|0|0|1|0|Gnome||||0|
Arcane Shield|General|You can convert any spell into a defense.|Arcane spellcaster, caster level 10th.||As a immediate action, you can sacrifice a prepared spell or unused spell slot of 1st level or higher and gain a def lection bonus to AC equal to the level of the spell or spell slot you sacrificed for 1 round. 0-level spells may not be sacrificed in this manner.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Arcane Shield|Mythic|You sculpt spells into a powerful, enduring arcane barriers.|Arcane ShieldAPG.|Arcane Shield|You add half your tier to the def lection bonus granted to your AC when you use your Arcane Shield. You can expend one use of mythic power when using this feat to extend the duration to a number of rounds equal to your tier.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Arcane Strike|Combat|You draw upon your arcane power to enhance your weapons with magical energy.|Ability to cast arcane spells.||As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Arcane Strike|Mythic|Using your amazing arcane talents, you can deliver devastating blows infused with magical energy.|Arcane Strike.|Arcane Strike|Whenever you use Arcane Strike to enhance your weapons, the effect lasts for 1 minute instead of 1 round. If you expend one use of mythic power when using Arcane Strike, you can also add any one magic weapon special ability with a base price modifier of +1 to your weapons. This base price modifier increases to +2 at 4th tier, +3 at 7th tier, and +4 at 10th tier.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Arcane Talent|General|Magic is in your blood, and at your fingertips.|Cha 10; elf, half-elf, or gnome.||Choose a 0-level spell from the sorcerer/wizard spell list. You can cast this spell three times per day as a spell-like ability. The caster level is equal to your character level. The save DC is 10 + your Charisma modifier.|||Advanced Player's Guide|0|0|0|0|0|1|0|Half-elf, Elf, Gnome||||0|
Arcane Trap Suppressor|General|Your magic can suppress magic traps longer than usual.|Ability to cast dispel magic or greater dispel magic as a spell or spell-like ability.||When you target a magic trap with dispel magic or greater dispel magic, if your caster level check exceeds the Disable Device DC of the trap, the trap is disabled for 1d4 minutes.|Dispel magic suppresses an item's magical properties for 1d4 rounds.||Dungeoneer's Handbook|0|0|0|0|0|0|0|||||0|
Arcane Vendetta|General|The mistreatment of your people by an arcane society (such as Numeria's Technic League or the White Witches of Irrisen) has made you particularly eager to inf lict harm on those who use arcane magic.|Spellcraft 1 rank.||You deal +2 damage with weapon attacks made against any target you have witnessed casting an arcane spell (not using a spell-like ability) in the last 5 rounds. You must have successfully identified the spell with a Spellcraft check to know without a doubt that the spell is arcane.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Archon Diversion|Combat|You are able to throw yourself in front of danger to protect your friends.|Archon Style, Combat Expertise, Improved Unarmed Strike, base attack bonus +4 or monk level 4th.|Archon Style, Combat Expertise, Improved Unarmed Strike|The penalty to AC for using Archon Style to grant nearby allies a bonus to AC against a single opponent decreases to -1, and you can spend a move action instead of a standard action to use this ability. Once per round while using Archon Style, when you have at least one hand free, you can divert one melee weapon attack that would have struck an adjacent ally and take the blow in your ally's stead, using your own AC to determine whether the attack hits you. Whether or not a diverted attack actually hits you, the ally you protected can make an attack of opportunity against the diverted opponent. You expend no action to divert the attack, but you must be aware of it and must not be flat-footed. You must declare that you are using this feat after your opponent has declared the target of its melee attack but before it makes its attack roll.|||Blood Of Angels|0|0|0|0|0|0|0|||||0|
Archon Justice|Combat|Your righteous indignation knows no bounds, and foes that attack your companions soon learn the error of their foolish ways.|Archon Diversion, Archon Style, Combat Expertise, Improved Unarmed Strike, base attack bonus +8 or monk level 7th.|Archon Diversion, Archon Style, Combat Expertise, Improved Unarmed Strike|You no longer take a penalty to AC for using Archon Style to grant nearby allies a bonus to AC against a single opponent, and you can spend a swift action instead of a move action to use this ability. Whenever you take damage from using Archon Diversion to divert an opponent's attack toward yourself, any allies threatening your opponent can make an attack of opportunity against the diverted opponent.|||Blood Of Angels|0|0|0|0|0|0|0|||||0|
Archon Style|Combat|You have trained thoroughly to protect your allies from harm, even if it means temporarily sacrificing your own safety in the process.|Combat Expertise, Improved Unarmed Strike, base attack bonus +2 or monk level 2nd.|Combat Expertise, Improved Unarmed Strike|While using this style, as a standard action, you can actively protect adjacent allies from a single opponent that you are currently adjacent to. This grants any adjacent allies a +2 dodge bonus to AC against that opponent's next melee attack (as long as that attack comes before the beginning of your next turn), but causes you to take a -2 penalty to AC against that opponent until your next turn. The dodge bonus persists even if your allies move away from you, but still only applies against attacks made by the opponent that you designated upon first using this ability.|||Blood Of Angels|0|0|0|1|0|0|0|||||0|
Arisen|Story|Escaping death strengthened your bond to life, but fills you with a need for answers.|You must have been slain and brought back from the dead, or have the Left to Die or Cursed Birth background.||You don't die until your negative hit point total is equal to or greater than 4 + your Constitution score. Once per day as a standard action, you can force yourself to carry on by strength of will alone, gaining 1 temporary hit point per hit die. These temporary hit points last for 10 minutes.|You die when your negative hit point total is equal to or greater than your Constitution score.||Ultimate Campaign|0|0|0|0|0|0|0|||You meet in person and hear the words of your deity or your deity's chosen herald. If you worship a pantheon of deities, you must meet and hear a member of that pantheon-a herald does not suffice in this case. If you worship no specific deity, you must hear the words of an appropriate entity of the GM's choice.|You gain a +2 bonus on saving throws against death effects and fear effects. In addition, the caster level of any conjuration (healing) spell that is cast on you increases by 1 for the purposes of its effects on you alone.|0|
Armor of the Pit|General|Your fiendish traits take the form of a protective scaly skin.|Tiefling.||You gain a +2 natural armor bonus.||If you have the scaled skin racial trait, you instead gain resistance 5 to two of the following energy types that you don't have resistance to already: cold, electricity, and fire.|Advanced Race Guide|0|0|0|0|0|1|0|Tiefling||||0|
Artifact Hunter|Story|You seek an artifact-either a specific one or merely any item of legendary prowess-with dogged tenacity.|You must have come within sight of a legendary artifact at some point in your past.||You gain a +2 bonus on Use Magic Device checks when emulating a class feature, ability score, race, or alignment. If you have 10 or more ranks in Use Magic Device, this bonus increases to +4. In addition, once per day, instead of attempting a Use Magic Device check normally, you can choose to determine the result as if you had rolled a 15. If you have 10 or more ranks in Use Magic Device, you can use this ability twice per day.|||Quests and Campaigns|0|0|0|0|0|0|0|||Claim ownership of an artifact.|You learn how to coax the most out of your magic items. Three times per day when you activate a use-activated or command word magic item, you can increase the item's effective caster level by +2 as a free action. You can use this ability once per round.|0|Dangerously CuriousAPG, Fortunate, Secret-Keeper.
Ascendant Spell|Metamagic|You have learned how to emulate mythic spells using non-mythic forces.|||You can modify a spell to imitate the mythic version of that spell. An ascendant spell uses the mythic version of the spell, but doesn't count as a mythic spell for the purposes of effects that interact with the spell, unless you are a mythic creature. You can't use the augmented version of the mythic spell, or use spells effects that require you to expend uses of mythic power (even if you have uses of mythic power available). An ascendant spell uses up a spell slot 5 levels higher than the spell's actual level.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
