name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Ambitious|Basic|Social||||||||You gain a +4 trait bonus on Diplomacy checks made to influence creatures with at least 5 Hit Dice more than you possess.||
Ambush Training|Basic|Combat||||||||You gain a +1 trait bonus on initiative checks and a +1 trait bonus on weapon damage rolls during any surprise round in which you act.||
Amiable Blunder|Basic|Social||||||||Once per day when you fail a Diplomacy check by 5 or more and would cause an NPC's attitude toward you to worsen, you can immediately attempt another Diplomacy check against the same DC as a free action. If you succeed at this second Diplomacy check, the character's attitude doesn't change, as though you had failed the original check by 4 or less.||Champions of Balance
Anatomist|Basic|Combat||||||||You gain a +1 trait bonus on all rolls made to confirm critical hits.||
Ancient Explorer|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Knowledge (history) and Knowledge (local) checks, and one of these skills is always a class skill for you. In addition, you gain Cyclops or Polyglot as a bonus language.||
Andoren Freedom Fighter|Regional|||||||||You gain a +1 trait bonus on attack and damage rolls against slavers or any creature holding someone against their will.||
Animal Friend|Race||Gnome|||||||You gain a +1 trait bonus on Will saving throws as long as an animal (Tiny or larger, must be at least indifferent toward you) is within 30 feet, and Handle Animal is always a class skill for you.||
Animalistic Affliction|Race|||||||||You gain a +1 trait bonus on Handle Animal and wild empathy checks.||
Anticipate Evil|Race||Tiefling|||||||You gain a +1 trait bonus on opposed Dexterity-based skill checks against outsiders with the evil subtype. In addition, when your initiative is tied with such creatures, you always act first regardless of which of you has a higher initiative modifier.||
Antiquities Smuggler|Regional||||||||Desert|Choose one of the following skills: Appraise, Bluff, or Sleight of Hand. You gain a +1 trait bonus on that skill, and it is always a class skill for you.||
Aquatic Survivalist (Plane of Water)|Regional|||||||||You gain a +2 trait bonus on Stealth checks while underwater. Once per day, you can attempt a Stealth check to hide in plain sight (as the ranger class feature of the same name) while underwater. This is only effective against creatures that rely on blindsense, blindsight, or tremorsense. Creatures with other senses perceive you normally.||Pathfinder Player Companion: Blood of the Elements
Arcane Dabbler|Race||Elf|||||||Choose a 0-level arcane spell. You may cast that spell once per day as a spell-like ability. Your caster level is equal to your highest class level in a spellcasting class; if you have no caster level, it functions at CL 1st. The spell-like ability's save DC is Intelligence- or Charisma-based (chosen when you select this trait).||
Arcane Dabbler|Regional|||||||||Select two non-harmful arcane cantrips. You can cast these two cantrips once per day each (caster level 1st). If you have levels in a class that can cast these cantrips, your caster level for these cantrips is equal to that class level.||
Arcane Depth|Religion|||||||Knowledge, Magic||You gain a bonus of either +1 on Spellcraft checks or +2 on Knowledge (arcana) checks. Which bonus you receive is chosen when you take the trait and may not be changed.||
Arcane Revitalization|Basic|Magic||||||||Once per day, when you confirm a critical hit with a weapon attack, you regain 1 arcane pool point. You can't exceed your maximum number of arcane pool points.||
Arcane Student|Race|||||||||You gain a +1 trait bonus on Knowledge (arcana) and Spellcraft checks, and you may make these checks untrained.||
Arcane Temper|Basic|Magic||||||||You gain a +1 trait bonus on concentration and initiative checks.||
Armor Expert|Basic|Combat||||||||Armor check penalties for armor you wear are reduced by 1, to a minimum of 0.||
Arms Master|Race||Tiefling|||||||You take a –2 penalty on attack rolls made with weapons with which you are not proficient instead of the normal –4.||
Artifact Hunter|Regional||||||||Jungle|You gain a +1 trait bonus on Knowledge (geography) and Knowledge (history) checks, and one of them is always a class skill for you.||
Artisan|Basic|Social||||||||You gain a +2 trait bonus on a single Craft skill (your choice).||
Artistic Dilettante|Race|||||||||You gain a +1 trait bonus on Appraise checks, and on checks for one Craft skill of your choice.||
Ascendant Recollection|Basic|Magic||||||||Your sorcerer level is considered to be 1 level higher when determining the effects of your 1st-level bloodline power.||
Asmodean Demon Hunter|Religion|||||||Asmodeus||You gain a +3 trait bonus on Knowledge (planes) checks about demons and a +2 trait bonus on Will saving throws against mind-affecting spells and effects from demons.||
Aspiring Bard|Race||Human|||||||You gain a +1 trait bonus to one category of Perform checks and a +2 trait bonus to any Knowledge (local) checks that deal with the music scene.||
Aspiring Hellknight|Regional|||||||||You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you.||
Assimilated Native|Race||||||||Jungle|You gain a +2 trait bonus on Intimidate checks to influence natives, but you suffer a -2 on Diplomacy checks to influence them.||
Attuned to the Ancestors|Faction|||||||||Once per day, you can surround yourself with an aura of unlife. Unintelligent undead ignore you unless you take action against them, per hide from undead. The protection lasts for 1 round per two character levels you possess. If you take any offensive action against any undead, this effect immediately ends. This is a supernatural ability.||
Augmented Disguise|Equipment|||||||||You gain a +2 trait bonus on Disguise checks when wearing a wig, false beard, or similar large prop, or if you are wearing a special costume or eye-catching bauble that reinforces your disguise.||
Auspicious Tattoo|Race|||||||||You gain a +1 trait bonus on Will saving throws.||
Authoritarian|Basic|Faith||||||||As long as you are acting in the service of a liege or leader you recognize as legitimate, you gain a +2 trait bonus on saving throws against fear and compulsion effects.||
Avid Reader|Basic|Social||||||||Choose one Knowledge skill. You can always choose to take 10 on checks with the chosen Knowledge skill, even when distracted or threatened.||
Awakened from Stasis|Regional|||||||||You gain all the benefits of 8 hours of sleep in only 2 hours. This allows a spellcaster who must rest to prepare spells to do so after only 2 hours, but does not allow a spellcaster to prepare spells more than once per day.||Pathfinder Player Companion: People of the Stars
Axe to Grind|Basic|Combat||||||||You gain a +1 trait bonus on damage against foes who are threatened by only you.||
Azlant Fanatic|Race||Human|||||||You gain a +1 trait bonus to Knowledge (arcana) and Knowledge (history) checks. One of these skills (your choice) is always a class skill for you.||
Backstabber|Religion|||||||||When you hit a foe you are flanking, you deal an additional 1 point of damage (this damage is added to your base damage, and is multiplied on a critical hit). This additional damage is a trait bonus.||
Bad Reputation|Faction|||||||||You gain a +2 trait bonus on Intimidate checks, and Intimidate becomes a class skill for you.||
Balancer's Banishing|Basic|Magic||||||||As long as you remain neutral, whenever you cast a spell that would send an outsider with the chaotic, evil, good, or lawful subtype back to its home plane, the spell's saving throw DC increases by 1.||Champions of Balance
Balloon Headed|Race||Goblin|||||||You gain a +1 trait bonus on Perception checks, and Perception is always a class skill for you. Any Escape Artist checks that requires you to squeeze your head through a tight space take a –8 penalty.||
Bandit|Regional||||||||The River Lands|Choose one of the following skills: Escape Artist, Intimidate, or Stealth. You gain a +1 trait bonus on that skill, and it is always a class skill for you.||
Barroom Talespinner|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Diplomacy checks and one category of Perform checks, and one of these skills is always a class skill for you. In addition, once per week you can make a DC 15 Knowledge (local) or Intelligence check to see if you know a popular legendary pirate tale, the telling of which grants you a +1 trait bonus on checks made to influence NPCs in the area.||
Bastard|Basic|Social||||||||You gain a +1 trait bonus on Sense Motive checks, and Sense Motive is always a class skill for you.||
Bastard|Campaign|Kingmaker||||||||You take a –1 penalty on all Charisma-based skill checks made when dealing with members of nobility but gain a +1 trait bonus on Will saves as a result of your stubbornness and individuality. (The penalty aspect of this trait is removed if you ever manage to establish yourself as a true noble.)||
Battlefield Caster|Religion|||||||||You receive a +1 trait bonus on concentration checks to cast defensively and a +1 trait bonus to AC against attacks provoked by or readied against spellcasting.||
Battlefield Disciple|Basic|Combat||||||||You gain a +2 trait bonus on Heal checks made to stabilize a dying creature. In addition, when you successfully use the aid another action in combat to grant an ally a bonus on her next attack roll, the bonus you grant increases by 1.||
Battlefield Surgeon|Religion|||||||Evil||Heal is always a class skill for you, and you can use the treat deadly wounds aspect of the skill 1 additional time per creature per day.||
Beacon of Faith|Basic|Faith||||||||Once per day as a free action, you may treat your caster level as if it were 2 levels higher when using one of the granted powers of your domain or inquisition, or when casting one of your domain spells.||
Beast Bond|Basic|Social||||||||You gain a +1 bonus on Handle Animal checks and Ride checks. One of these skills (your choice) is always a class skill for you.||
Beast Bully|Race||Tiefling|||||||You can make an Intimidate check instead of a Handle Animal check when trying to handle or push an animal.||
Beast of the Society|Basic|Magic|||Druid||Society|||Whenever you use your wild shape class ability to turn yourself into a Small or Medium-sized animal, the effect lasts for 2 hours per druid level instead of 1 hour per druid level.||
Bellflower Tiller|Regional||||||Special Network|||You gain a +5 trait bonus on all Survival skill checks made to get along in the wild, travel in severe weather, keep from getting lost, or predict the weather.||
Beneficient Touch|Faction|||||||||Once per day, when you cast a spell or use a class ability that heals hit point damage, reroll any 1s that appear on the dice and take the new roll (even if it is another 1).||
Bent Body|Race||Tiefling|||||||You gain a +2 trait bonus to CMD when resisting grapple attempts.||
Berserker of the Society|Basic|Combat|||Barbarian||Society|||You may use your rage ability for 3 additional rounds per day.||
Best Friend|Campaign|Jade Regent||||||||Choose An NPC. You and the chosen NPC are best friends. You gain a +1 trait bonus on all attack rolls against foes that threaten your friend as well as one of the following (depending on the NPC chosen, consult your GM for specifics): A +2 trait bonus on Diplomacy checks or a +2 trait bonus on Bluff checks. Whichever skill you gain a trait bonus on, that skill is always considered a class skill for you.||
Betrayed Ex-Noble (City of Brass)|Regional|||||||||Whenever an enemy attempts to feint against you in combat, the DC to do so is equal to 10 + your base attack bonus + your Wisdom modifier, or 10 + your Intimidate bonus, whichever is higher.||Pathfinder Player Companion: Blood of the Elements
Big Boned|Race||Tiefling|||||||You gain a +1 trait bonus on combat maneuver checks made to overrun opponents, as well as a +1 trait bonus to your CMD against trip attempts.||
Big Ears|Race||Goblin|||||||While this might not quite be the case, you gain a +2 bonus on all Perception checks made to hear noises. Additionally, you can hear noises that normally only dogs or other animals can hear, like the sound of a dog whistle.||
Birthmark|Basic|Faith||||||||Your birthmark can serve as a divine focus for casting spells and you gain a +2 trait bonus on all saving throws against charm and compulsion effects.||
Black Powder Bravado|Basic|Combat||||||||Once per day, when you perform a deed that requires an attack roll and you miss with that roll, you can reroll it. You must take the second result even if it is worse.||
Black Powder Fortune|Basic|Combat||||||||As long as you are wielding a firearm, you gain a +2 trait bonus on all saving throws against curse, fear, and emotion effects.||
Black Powder Interjection|Basic|Combat||||||||Once per day, when you interrupt the casting of a spell with a firearm attack, you may regain 1 grit point.||
Black Sheep|Campaign|Rise of the Runelords||||||||You gain a +1 trait bonus on Knowledge (local) checks, and Knowledge (local) is always a class skill for you. In addition, you can choose any one notorious citizen from below as an ally; depending on the person you pick, you’ll get different benefits:|^Apothecarist: You start the game with 400 gp worth of poison, and the apothecarist will continue to sell you poison as long as you don’t spread the word.^Bitter Nobleman: Choose one of the following skills: Bluff, Sleight of Hand, or Stealth. You gain a +1 trait bonus on that skill, and it is always a class skill for you.|
Blade Bravado|Race|||||||||When wielding a one-handed weapon and nothing in your off hand, you gain a +1 trait bonus on Acrobatics and Bluff checks.||
Blade of Mercy|Religion|||||||Sun, redemption, honesty, healing||When striking to inflict nonlethal damage with any slashing weapon, you do not take the normal -4 penalty on your attack roll, and gain a +1 trait bonus to any nonlethal damage you inflict with a slashing weapon.||
Blade of the Society|Basic|Combat|||Rogue||Society|||You gain a +1 trait bonus to damage rolls from sneak attacks.||
Bladed Magic|Basic|Magic||||||||You gain a +1 trait bonus on Craft checks made to craft magic or masterwork weapons. In addition, when you use your arcane pool class ability to grant a weapon an enhancement bonus, that bonus lasts for 2 minutes instead of 1.||
Blessed|Basic|Faith||||||||Once per day as a swift action, you gain a +1 trait bonus on all saving throws for 1 round.||
Blessed Touch|Basic|Faith||||||||You heal 1 additional point of damage when using lay on hands, channeling energy, or casting a cure spell.||
Blessing of Darkness|Race||Tiefling|||||||Whenever a spellcaster capable of channeling negative energy casts a beneficial spell on you, she acts as if she were one level higher for the purpose of determining that spell’s effects.||
Blessing of the Feast|Religion|||||||God or goddess of blood, cannibalism, or vampires||Whenever you eat the flesh or drink the blood of another creature of your own kind—a full-round action that provokes attacks of opportunity— you gain the favor of your god or goddess and receive a +1 natural armor bonus for 1 minute/level. You can only receive this benefit once per day.||
Blood of Dragons|Race|Bloodline|Any|||||||Choose one of the following: gain a +1 trait bonus on Perception checks, gain low-light vision, or gain a +2 trait bonus on saving throws against effects that cause sleep or paralysis.||
Blood of Pharaohs|Campaign|Mummy's Mask||||||||You gain a +1 trait bonus on Will saves. You also gain a +1 trait bonus on Knowledge (nobility) checks and that skill is always a class skill for you. In addition, you may choose an ancient language as one of your bonus languages.||
Blood Stalker|Race||Tiefling|||||||You gain a +4 trait bonus on Survival checks made to track or follow a trail so long as you have dealt damage to the creature you are hunting within the last week.||
Blood Steed|Regional|||||||||You begin play with a combat trained light horse. While riding this horse bareback, you are treated as though you were riding it with a riding saddle (placing any actual saddle upon the horse negates this benefit). The horse can fend for itself outside of settlements in all but the most hostile environments. If whistled for outside of a community, the horse typically arrives within 1d6 minutes. If your horse is slain, you may receive a new horse by returning to your clan and performing a vigil for its spirit (a rite that costs 100 gp in rare herbs and incense).||
Blooded|Regional||Dwarf|||||||You receive a +1 trait bonus on weapon damage rolls against giants, goblins, and orcs.||
Bloodthirsty|Basic|Combat||||||||Whenever you make an attack that reduces a foe to 0 hit points or fewer or you confirm a critical hit, your attack deals 1 additional point of damage. The additional damage is a trait bonus, and is multiplied by your weapon's critical hit multiplier.||
Bloody-Minded|Basic|Combat||||||||You gain a +1 trait bonus on initiative and Intimidate checks.||Pathfinder Player Companion: Champions of Corruption
Boar Resilience|Race||Wereboar-kin|||||||You do not gain the disabled condition when you have exactly 0 hit points. In addition, you can ignore the Endurance prerequisite for the Diehard feat.||
Boarded in Cheliax|Campaign|Serpent's Skull||||||||You begin with a detailed map of a very large jungle (this grants +2 competence bonus on all Knowledge [geography] checks made regarding this region) and 200 gp worth of mundane equipment to aid your exploration of the jungle.||
Boarded in Mediogalti|Campaign|Serpent's Skull||||||||Your familiarity with subtle slayings and toxins grants you a +2 trait bonus on all saving throws against poison. In addition, you can pick one type of poison listed below to be immune to, having undergone a long and painful process of building up an immunity to its effects: blue whinnis, giant wasp poison, medium spider venom, small centipede poison, or spider vine poison.||
Boarded in the Mwangi Expanse|Campaign|Serpent's Skull||||||||You gain Polyglot as a bonus language and receive a +1 trait bonus on all Knowledge (nature) checks regarding the jungle.||
Boarded in the Shackles|Campaign|Serpent's Skull||||||||Choose Fort, Reflex, or Will. You gain a +1 trait bonus on all saving throws of that type.||
Boarded in Varisia|Campaign|Serpent's Skull||||||||You gain either a +2 trait bonus on all Bluff checks made against inhabitants of the jungle, or treat your spells with the mind-affecting descriptor as being +1 caster level higher when cast against creatures and natives of the jungle.||
Bog Scamp|Race||Kobold|Black-Scaled||||||You can swim through a deep bog at up to half your speed as a move action, instead of the normal quarter speed. Failing a swim check while in a deep bog doesn't cause you to go underwater, even if you fail by 5 or more, though such a failure still results in a lack of progress.||
Border Guard|Regional|||||||||You gain a +2 trait bonus on rolls to confirm critical hits against foes with the aquatic subtype.||
Born Damned|Race||Tiefling|||||||You gain a +2 trait bonus on saving throws against curses and magical effects that produce curses.||
Born in the Light|Race||Dhampir|||||||You gain a +2 bonus on checks and saves affected by the Endurance feat (this bonus does not stack with the bonus granted by the Endurance feat). When your light sensitivity causes you to become dazzled, you do not take the –1 penalty on sight-based Perception checks.||
Born to the Water|Race|||||||||You gain a +1 bonus on Swim checks and only need to make Swim checks once every 2 hours to avoid fatigue, instead of once each hour.||
Born under the Green Star|Regional|||||||||You treat your caster level as 1 higher when casting spells and spell-like abilities with the mind-affecting descriptor.||Pathfinder Player Companion: People of the Stars
Born under the Stranger|Basic|Combat||||||||When feinting against aberrations, you do not take a –4 penalty for feinting against a non-humanoid creature, and you take only a –4 penalty if you feint against an aberration of animal Intelligence instead of –8). You still cannot feint against mindless creatures.||Pathfinder Player Companion: People of the Stars
Bouncy|Race||Goblin|||||||Whenever you take falling damage, the first 1d6 points of lethal damage suffered in the fall are automatically converted to nonlethal damage. You also gain a +2 trait bonus on all Reflex saves made to avoid unexpected falls.||
Bounty Hunter|Regional|||||||||You gain a +1 trait bonus on Survival checks to find or follow tracks, and a +1 trait bonus on Perception checks to avoid being surprised.||
Bralani's Step|Race||Aasimar|||||||Once per day, you may move an additional 5 feet as part of a move action.||
Brastlewark Businessman|Basic|Social|Gnome|||||||You gain a +2 trait bonus on all Craft (alchemy) checks.||
Bred for War|Race||Human|||||||You gain a +1 trait bonus on Intimidate checks and a +1 trait bonus on your CMB because of your great size. You must be at least 6 feet tall.||
Brewmaster|Race||Dwarf|||||||You gain a +1 trait bonus on Profession (brewer) and Craft (alchemy) checks, but you take a –1 penalty on Diplomacy checks made to change the attitude of dwarves who know that your family has shared brewing secrets with non-dwarves.||
Briar Bandit|Regional||||||||Forest|When in overgrown areas, you gain a +2 trait bonus on Stealth checks and a +1 trait bonus on damage rolls with sneak attacks.||
Brigand|Campaign|Kingmaker||||||||You begin with an extra 100 gp in equipment. You also gain a +1 trait bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks when dealing with brigands, thieves, bandits, and their ilk.||
Broken Mind|Religion|||||||||You gain a +2 trait bonus on saving throws against madness and confusion effects.||
Bruising Intellect|Basic|Social||||||||Intimidate is always a class skill for you, and you may use your Intelligence modifier when making Intimidate checks instead of your Charisma modifier.||
Brute|Race||Half-Orc|||||||You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you.||
Buccaneer's Blood|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Intimidate and Profession (sailor) checks. In addition, you gain a one-time +1 trait bonus to your Disrepute and Infamy scores.||
Bullied|Basic|Combat||||||||You gain a +1 trait bonus on attacks of opportunity attack rolls made with unarmed strikes.||
Bully|Basic|Social||||||||You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you.||
Buried Anxiety|Race||Tiefling|||||||Pick a specific sort of object, color, sound, or similar relatively common phenomena. You gain a +2 trait bonus on saving throws made to resist fear effects except when you can see, hear, smell, or taste that which unnerves you.||
Burnished Skin|Race||Aasimar|||||||You gain a +2 trait bonus on saving throws made to disbelieve illusions.||
Calculated Bribe|Basic|Social||||||||Once per day while negotiating with another intelligent creature, you can spend a number of gold pieces equal to your level × 10 in order to reroll a Diplomacy check you just made, before the results are revealed. You must take the result of the reroll, even if it's worse than the original roll. In addition, you begin play with a set of extravagant noble's clothes worth 100 gp.||
Calistrian Courtesan|Religion|||||||Trickery, lust, revenge||You gain a +1 trait bonus on Sense Motive checks and Diplomacy checks to gather information, and one of these skills (your choice) is always a class skill for you.||
Call for Help|Religion|||||||||Your allies gain a +1 trait bonus on rolls made against a creature threatening you when you use the total defense action.||
Called|Basic|Faith||||||||Once per day upon rolling a natural 1 on an attack roll, you may reroll the die and take the second result instead.||
Candidate for Perfection|Regional|||||||||You gain a +1 trait bonus on attack of opportunity attack rolls made with unarmed strikes.||
Canter|Basic|Social||||||||Anyone who attempts to use Bluff to deliver a secret message to you gains a +5 bonus on his Bluff check. When you attempt to intercept a secret message using Sense Motive, you gain a +5 trait bonus on the attempt.||
Captain's Blade|Faction|||||||||While on board any vessel afloat on water, you gain a +1 trait bonus on Acrobatics and Climb checks. One of these skills (your choice) is always a class skill for you.||
Caravan Drover|Race||Half-orc|||||||You treat whips as martial weapons, and up to 10 animals and humanoids traveling with you can hustle or make a forced march for 1 hour longer than normal before taking nonlethal damage and becoming fatigued.||
Caravan Guard|Campaign|Jade Regent||||||||You gain a +1 trait bonus on Survival checks, and Survival becomes a class skill for you.||
Careful Combatant|Basic|Combat||||||||When using the withdraw action, both the first and second squares of your movement are not considered threatened by any opponents you can see, rather than just the first square.||
Carefully Hidden|Race||Human|||||||You gain a +1 trait bonus to Will saves and a +2 trait bonus to saving throws versus divination effects.||
Caretaker|Basic|Faith||||||||You gain a +1 trait bonus on Heal checks, and Heal is always a class skill for you.||
Carnation Scales|Race||Kobold|Carnation-Scaled||||||You gain a +1 bonus on Survival checks, and Survival is always a class skill for you. Most kobolds with carnation scales also have the day raider alternate racial trait.||
Celestial Tracker|Race||Aasimar|||||||You gain a +1 trait bonus on Survival checks made to follow tracks. In addition, you treat trails as being up to 24 hours fresher than they actually are when using the Survival skill to follow tracks.||
Cellular Match|Race||Android|||||||Whenever you are affected by a polymorph spell or effect, your nanites adjust completely at a molecular level. For the duration of the polymorph effect, you are treated as only a humanoid for the purpose of effects that target creatures by type. For example, a ranger's favored enemy bonus against constructs wouldn't apply to you while you are polymorphed, but nor would spells such as make whole. This trait modifies part of the android's constructed racial trait, but otherwise that trait is unchanged a polymorphed android still can't gain morale bonuses, is still immune to fear, and so on).||Pathfinder Player Companion: People of the Stars
Centaur Vengeance|Race||Centaur|||||||You gain a +2 bonus on saving throws against any dragon's frightful presence.||
Centered|Religion|||||||History, knowledge, self-perfection||You gain a +1 trait bonus on saving throws against charms and compulsions, and the DC of any attempts to use the Intimidate skill on you increases by +1.||
